,year,month,day,hour,minute,second,lat,lon,depth_km,mag
369,1970,12,18,22,14,8,-4.029,-81.1555,39000.0,4.57
370,1970,12,21,7,21,45,-3.9243,-80.8674,23831.8,4.8
371,1970,12,21,7,33,17,-3.9716,-80.8114,39000.0,5.1
372,1970,12,21,10,58,39,-3.9476,-80.1314,56091.7,4.7
373,1970,12,22,1,48,30,-4.0415,-80.7789,30652.3,5.47
374,1970,12,22,15,8,36,-3.9241,-80.7887,35000.0,4.88
375,1970,12,22,15,19,35,-20.5342,-68.345,92843.4,5.5
376,1970,12,27,3,10,7,-3.9003,-80.8338,40973.3,4.84
377,1970,12,27,23,8,41,-1.0628,-80.7094,16000.0,4.76
378,1970,12,28,10,34,9,-29.0464,-67.8972,97901.0,4.76
379,1970,12,29,2,22,11,-3.9833,-80.9718,36713.7,4.37
380,1970,12,29,8,2,0,-3.9317,-80.8941,48270.1,5.77
381,1970,12,30,6,8,40,-24.0389,-69.3615,79294.1,5.48
382,1971,1,2,8,41,38,-32.0652,-68.3346,119185.2,5.0
383,1971,1,4,9,22,36,6.8334,-73.0431,166000.0,4.94
384,1971,1,5,10,55,36,-3.8861,-80.971,39000.0,4.55
385,1971,1,5,11,35,30,-3.9395,-81.0709,39000.0,4.44
